Uuid,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,_order:1080
e96d2699-ded6-4d38-a832-3ccdce4ac00e,Civil Servant,Fonctionnaire d'Etat,Civil Servant,Fonctionnaire d'Etat,Civil Servant,Fonctionnaire d'Etat,Misc,N/A,,
8e0d201d-e166-4982-a6f6-34d3dd8a8464,Private sector employee,Employé du secteur privé,Private sector employee,Employé du secteur privé,Private sector employee,Employé du secteur privé,Misc,N/A,,
301e248e-93c1-452f-a3fa-f6db96f309fa,Retired,En retraite,Retired,En retraite,Retired,En retraite,Misc,N/A,,
f3b0b4c8-6702-42e6-838d-e55f1a485cfc,Primary education,Primaire,Primary education,Primaire,Primary education,Primaire,Misc,N/A,,
9293904f-c60c-4fbd-b3b8-127c1c61d5e9,Secondary education,Secondaire,Secondary education,Secondaire,Secondary education,Secondaire,Misc,N/A,,
2d3e9f20-db8f-470e-9d2e-a67715fcdecb,Higher education,Superieure,Higher education,Superieure,Higher education,Superieure,Misc,N/A,,
52fea5fc-0aea-49c5-b5ab-d54826b7e164,Married monogamous,Mariée monogame,Married monogamous,Mariée monogame,Married monogamous,Mariée monogame,Misc,N/A,,
395ce16c-c9bf-4f78-a366-c1228a258a30,Married polygamous,Mariée polygame,Married polygamous,Mariée polygame,Married polygamous,Mariée polygame,Misc,N/A,,
6fc43013-bee1-46b1-8e5e-a5d2d3cd266b,Co-habiting,Union libre,Co-habiting,Union libre,Co-habiting,Union libre,Misc,N/A,,
c224c534-3f10-11e4-adec-0800271c1b75,Businessman,Homme d'affaires,Businessman,Homme d'affaires,Businessman,Homme d'affaires,Misc,Text,,
c22666ac-3f10-11e4-adec-0800271c1b75,Labourer,Ouvrier,Labourer,Ouvrier,Labourer,Ouvrier,Misc,Text,,
6a13c661-1a44-4d80-99a3-f427018ced70,Single,Célibataire,Single,Célibataire,Single,Célibataire,Misc,N/A,,
fcf34be1-20fd-41b0-8562-8e123ed40145,Widow(er),Veuf(ve),Widow(er),Veuf(ve),Widow(er),Veuf(ve),Misc,N/A,,
ed65dac9-15c3-4888-90f7-89e7ac9b0789,Vendor,Commercant,Vendor,Commercant,Vendor,Commercant,Misc,N/A,,
d18863aa-108e-41ce-a295-ce3b499c5d08,Driver,Chauffeur,Driver,Chauffeur,Driver,Chauffeur,Misc,N/A,,
0fa0c7eb-765b-4481-93e1-c2f89b37aa3c,Military,Militaire,Military,Militaire,Military,Militaire,Misc,N/A,,
c2222941-3f10-11e4-adec-0800271c1b75,Unemployed,Au chomage,Unemployed,Au chomage,Unemployed,Au chomage,Misc,Text,,
c2232daf-3f10-11e4-adec-0800271c1b75,Student,Etudiant,Student,Etudiant,Student,Etudiant,Misc,Text,,
c2259b07-3f10-11e4-adec-0800271c1b75,Housewife,Femme au foyer,Housewife,Femme au foyer,Housewife,Femme au foyer,Misc,Text,,
89a1e00a-46e7-4e8a-9e52-a759e578e3ec,Divorced,Divorcé,Divorced,Divorcé,Divorced,Divorcé,Misc,N/A,,
c2107f30-3f10-11e4-adec-0800271c1b75,Uneducated,Non scolarisé,Uneducated,Non scolarisé,Uneducated,Non scolarisé,Misc,N/A,,
c221869a-3f10-11e4-adec-0800271c1b75,Occupation,Profession,Occupation,Profession,Occupation,Profession,Misc,Coded,c2222941-3f10-11e4-adec-0800271c1b75;c2232daf-3f10-11e4-adec-0800271c1b75;e96d2699-ded6-4d38-a832-3ccdce4ac00e;8e0d201d-e166-4982-a6f6-34d3dd8a8464;c224c534-3f10-11e4-adec-0800271c1b75;c2259b07-3f10-11e4-adec-0800271c1b75;c22666ac-3f10-11e4-adec-0800271c1b75;301e248e-93c1-452f-a3fa-f6db96f309fa;ed65dac9-15c3-4888-90f7-89e7ac9b0789;d18863aa-108e-41ce-a295-ce3b499c5d08;Military,
c2084e7b-3f10-11e4-adec-0800271c1b75,Level of education,Niveau d'etudes,Level of education,Niveau d'etudes,Level of education,Niveau d'etudes,Misc,Coded,c2107f30-3f10-11e4-adec-0800271c1b75;f3b0b4c8-6702-42e6-838d-e55f1a485cfc;9293904f-c60c-4fbd-b3b8-127c1c61d5e9;2d3e9f20-db8f-470e-9d2e-a67715fcdecb,
a54cc160-8133-4a87-a706-3813fb121838,Matrimonial status,Statut Matrimonial,Matrimonial status,Statut Matrimonial,Matrimonial status,Statut Matrimonial,Misc,Coded,6a13c661-1a44-4d80-99a3-f427018ced70;52fea5fc-0aea-49c5-b5ab-d54826b7e164;395ce16c-c9bf-4f78-a366-c1228a258a30;6fc43013-bee1-46b1-8e5e-a5d2d3cd266b;fcf34be1-20fd-41b0-8562-8e123ed40145;89a1e00a-46e7-4e8a-9e52-a759e578e3ec,
