"uuid","Fully specified name:fr","Fully specified name:en","Data class","Data type","Same as mappings","_version:1","_order:1150"
"0304b7f4-0e16-4613-933f-a78dc3f0dd1b","A Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","Diagnosis","N/A","ICD 10 - WHO:A00.0",,
"53421465-1944-4d52-8137-ab2636ee8e56","A Vibrio cholerae 01, biovar El Tor","Cholera due to Vibrio cholerae 01, biovar eltor","Diagnosis","N/A","ICD 10 - WHO:A00.1",,
"216912ab-75e1-4318-8f64-73d69ca2de6f","Choléra, sans précision","Cholera, unspecified","Diagnosis","N/A","ICD 10 - WHO:A00.9",,
"79c98eee-7537-401e-990a-2c08f2a31ce0","Fièvre typhoïde","Typhoid fever","Diagnosis","N/A","ICD 10 - WHO:A01.0",,
"997f80a8-c847-4c3a-8529-53a6e50b8815","Paratyphoïde A","Paratyphoid fever A","Diagnosis","N/A","ICD 10 - WHO:A01.1",,
"0f9fa0c2-fc45-45af-8146-9ed0632af081","Paratyphoïde B","Paratyphoid fever B","Diagnosis","N/A","ICD 10 - WHO:A01.2",,
"6eda5e3e-985a-4d9d-84d9-a741ee1f226a","Paratyphoïde C","Paratyphoid fever C","Diagnosis","N/A","ICD 10 - WHO:A01.3",,
"c69cdbb1-98a4-4e51-b767-60e06072d4c1","Paratyphoïde, sans précision","Paratyphoid fever, unspecified","Diagnosis","N/A","ICD 10 - WHO:A01.4",,
"2123cfdd-a395-45c2-9ee8-212f5245752a","Entérite à Salmonella","Salmonella enteritis","Diagnosis","N/A","ICD 10 - WHO:A02.0",,
"af20a683-9fed-4a8e-8858-b3f2b178b2af","Septicémie à Salmonella","Salmonella sepsis","Diagnosis","N/A","ICD 10 - WHO:A02.1",,
"82a4939a-923e-46be-ac6c-cffc51dcc07e","†Infection localisée à Salmonella","Localized salmonella infections","Diagnosis","N/A","ICD 10 - WHO:A02.2",,
"cf1e1dcc-f483-41f4-af4e-e97990d03d82","†Autres infections précisées à Salmonella","Other specified salmonella infections","Diagnosis","N/A","ICD 10 - WHO:A02.8",,
"d0867db6-ecd8-4b5b-acdf-160876ee2359","Salmonellose, sans précision","Salmonella infection, unspecified","Diagnosis","N/A","ICD 10 - WHO:A02.9",,
"84c2e28e-0c55-4b0a-b85c-50ee1eef6392","Shigellose à Shigella dysenteriae","Shigellosis due to Shigella dysenteriae","Diagnosis","N/A","ICD 10 - WHO:A03.0",,
"59c0d3ef-dcf7-490e-b829-f42ff593d033","Shigellose à Shigella flexneri","Shigellosis due to Shigella flexneri","Diagnosis","N/A","ICD 10 - WHO:A03.1",,
"fb04c4c1-6c4b-412e-a290-d38f89285689","Shigellose à Shigella boydii","Shigellosis due to Shigella boydii","Diagnosis","N/A","ICD 10 - WHO:A03.2",,
