uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,Normal high,Normal low,Units,Allow decimals,_version:1,_order:1180
8207b3e9-3f10-11e4-adec-0800271c1b75,,,LAB_ABNORMAL,LAB_ABNORMAL,LAB_ABNORMAL,LAB_ABNORMAL,Finding,Boolean,,,,,,
8206f0cb-3f10-11e4-adec-0800271c1b75,,,LAB_MAXNORMAL,LAB_MAXNORMAL,LAB_MAXNORMAL,LAB_MAXNORMAL,Finding,Numeric,,,,yes,,
82063446-3f10-11e4-adec-0800271c1b75,,,LAB_MINNORMAL,LAB_MINNORMAL,LAB_MINNORMAL,LAB_MINNORMAL,Finding,Numeric,,,,yes,,
8205710d-3f10-11e4-adec-0800271c1b75,,,LAB_NOTES,LAB_NOTES,LAB_NOTES,LAB_NOTES,Finding,Text,,,,,,
bb5e4849-3f10-11e4-adec-0800271c1b75,,,LAB_REPORT,LAB_REPORT,LAB_REPORT,LAB_REPORT,URL,Text,,,,,,
820496d3-3f10-11e4-adec-0800271c1b75,,,LAB_RESULT,LAB_RESULT,LAB_RESULT,LAB_RESULT,Finding,Text,,,,,,
c3d078ae-0dcf-4e69-bc59-a7eef9343b93,,,GR,Total Leucocyte count,GR,WBC,LabTest,Numeric,12,3.5,x10^9/L,yes,,
5c700088-9e98-489f-a2f2-0e442fbd38b7,,,GR Date de résultat,Total Leucocyte count Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
bf9bb06c-f749-4e14-bfe0-86fee8c87a1c,,,GB,RBC,GB,RBC,LabTest,Numeric,5.4,4.2,x 10^12/L,yes,,
6bd2b822-fa44-4dd9-a2a3-1daa1da6ced6,,,GB Date de résultat,RBC Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
eddf74f8-a29d-4014-b3e8-187d021e9ac4,,,Plaquette,Platelets,Plaquette,Platelets,LabTest,Numeric,400,150,x10^9/L,yes,,
2e233c44-511d-446d-9c8b-c7de67f8e5e8,,,Plaquette Date de résultat,Platelets Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
fe769568-16da-4d9e-9c99-fbed0a8a60f5,,,Hemoglobin,Haemoglobin,Hemoglobin,Haemoglobin,LabTest,Numeric,18,12,g/dL,yes,,
d29f697b-4811-4e4c-ad2d-524afa98e2d9,,,Hemoglobin Date de résultat,Haemoglobin Test Date,Date de résultat,Test Date,Misc,Date,, , ,,,
66bbf858-6170-4c4c-b060-f9f114cca626,,,Hematocrite,Haematocrit,Hematocrite,Haematocrit,LabTest,Numeric,0.54,0.4,%,yes,,
ca9507a4-6c30-4006-92f7-befa0226864e,,,Hematocrite Date de résultat,Haematocrit Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
ac9b309c-b3bb-4c2f-a664-00b50dc88da3,,,VGM,MCV,VGM,MCV,LabTest,Numeric,100,76,fL,yes,,
97aa3d1d-5172-4268-b8ea-232b052972ac,,,VGM Date de résultat,MCV Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
88b686f5-a37d-441f-903e-ecd4713e54e3,,,CGM,MCH,CGM,MCH,LabTest,Numeric,50,50,x10^9/L,yes,,
1306f7d0-0b66-4a29-8abf-2e6e3f200e3c,,,CGM Date de résultat,MCH Test Date,Date de résultat,Test Date,Misc,Date,,,,,,
11d84f82-d343-4026-95d0-5a361373092e,,,MCHC,MCHC,MCHC,MCHC,LabTest,Numeric,,,,yes,,
