uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1200
26d6a309-5693-44fb-8964-313ae02197bc,Index testing offered?;Date Offered;Index testing accepted?;Date Accepted,,Cas Index,Index Testing,Cas Index,Index Testing,Misc,N/A,,
57d91463-1b95-4e4d-9448-ee4e88c53cb9,,,Date 1ere CPN,Date of First ANC Visit,Date 1ere CPN,Date of First ANC Visit,Misc,Date,,
868f4e4f-2e5e-4b1f-adc1-59373a25064e,,,"CPN,Gravidité","ANC, Gravida","CPN,Gravidité","ANC, Gravida",Misc,Numeric,,
9bd7169c-3445-462b-816c-5a2b3b86e74b,,,"CPN,Parité","ANC, Parity","CPN,Parité","ANC, Parity",Misc,Numeric,,
cc0fc358-96db-4b27-bf1c-5ae31f0fbce7,,,Avortement,Abortion,Avortement,Abortion,Misc,N/A,,
78d4e30e-10c2-4735-a593-8dc250dc9068,,,Prematurité,Prematurity,Prematurité,Prematurity,Misc,N/A,,
ed404c7c-c6bd-4d8a-8c55-659e8dab91a8,,,Enfant vivant,Living children,Enfant vivant,Living children,Misc,N/A,,
3e6de085-136a-4c24-be77-4054f8c5a55f,,"ANC, Gravida;ANC, Parity;Abortion;Prematurity;Living children",Histoire obstétricale,Obstetric History,Histoire obstétricale,Obstetric History,Misc,Coded,,
cc79d9d9-1a2b-4efc-a5ea-602ce00467a9,,,"Accouchement normal par voie basse",Normal Vaginal,"Accouchement normal par voie basse",Normal Vaginal,Misc,N/A,,
72494582-1d8c-457b-ab8c-dc78a92ba5be,,,Instrumental,Delivery Instrumental,Instrumental,Delivery Instrumental,Misc,N/A,,
c938e4fe-418f-4afe-9631-347733ab52b1,,,Césarienne,Cesarean Section,Césarienne,Cesarean Section,Misc,N/A,,
f2355233-c552-4cd6-802f-0c7c75221f03,,,Non applicable,Not Applicable,Non applicable,Not Applicable,Misc,N/A,,
aec24dd1-81b8-4d2c-98a7-d5708289b04d,,Normal Vaginal;Delivery Instrumental;Cesarean Section;Not Applicable,Dernier mode d'accouchement,Previous Delivery Mode,Dernier mode d'accouchement,Previous Delivery Mode,Misc,Coded,,
b1f7ebab-0ac8-4427-8068-324b276e2e93,,Yes full name;No full name,Travail prolongé,Prolonged labour,Travail prolongé,Prolonged labour,Misc,Coded,,
92798a2f-98ce-4e9f-8d65-d54ee939cb60,Obstetric History;Previous Delivery Mode;Prolonged labour,,Histoire obstétricale/Accouchement,Obstetrical/Delivery History,Histoire obstétricale/Accouchement,Obstetrical/Delivery History,Misc,N/A,,
5da2db65-3dc0-4ad8-8ce3-b15f9cef3bc0,,Yes full name;No full name,œdème,Edema,œdème,Edema,Misc,Coded,,
24f8fd4c-4bac-4f85-84ae-7c3ba5e7aed2,Edema,,"CPN,Signes vitaux",ANC Vital Signs,"CPN,Signes vitaux",Vital Signs,Misc,N/A,,
ca172e91-0b36-4b74-954c-2daad152c386,,,"CPN,Date des dernières règles (DDR)","ANC, Last Menstrual Period","CPN, DDR","ANC, Last Menstrual Period",Misc,Date,,
47cffd8e-d84f-471f-8468-1e8f951c56c1,,,"Date probable d'accouchement",Expected Date of Delivery,DPA,Expected Date of Delivery,Misc,Date,,
ecc16664-6c35-4cbe-ac36-450be91bd351,,Yes full name;No full name,Counselling fait,Councelling done,Counselling fait,Councelling done,Misc,Coded,,
f9ca8b2d-d89f-493e-a531-9ee815597569,"ANC, Last Menstrual Period;Expected Date of Delivery;Councelling done",,"Statut de la grossesse, Première visite",Pregnancy Status at 1st Visit,"Statut de la grossesse, Première visite",Pregnancy Status at 1st Visit,Misc,N/A,,
1980c545-0bdb-4da0-b48a-e60d6f0fc2be,,,Refusé,Refused,Refusé,Refused,Misc,N/A,,
e60b90fa-7200-4cc7-9b47-8901fd596483,,,Rupture de stock,Stock Out,Rupture de stock,Stock Out,Misc,N/A,,
dbfbf26c-a236-40f7-812a-4171b0daac4c,,Yes full name;No full name;Unknown;Refused;Stock Out,Testé au VIH,HIV Tested,Testé au VIH,HIV Tested,Misc,Coded,,
c6c08cdc-18dc-4f42-809c-959621bc9a6c,,,Date du test VIH,HIV Test Date,Date du test VIH,HIV Test Date,Misc,Date,,
4026c752-ecfe-43b0-9cf9-14a74d961fd1,,Yes full name;No full name;Unknown;Refused;Stock Out,Test refait si (P),Repeat Test done if (P),Test refait si (P),Repeat Test done if (P),Misc,Coded,,
541d9f7b-f622-4ebc-a3a3-50c970d4cce0,,,Date du test refait,Repeat Test Date,Date du test refait,Repeat Test Date,Misc,Date,,
7682c09b-8e81-4e30-8afd-636fb9fcd4a1,,Positive;Negative;Indeterminate;Unknown,Résultat du test refait,Repeat Test Result,Résultat du test refait,Repeat Test Result,Misc,Coded,,
130e05df-8283-453b-a611-d4f884fac8e0,"HIV Tested;HIV Test Date;HTC, Result;Repeat Test done if (P);Repeat Test Date;Repeat Test Result",,(a) Avant l'enrôlement en CPN,Prior to ANC Enrolment,(a) Avant l'enrôlement en CPN,Prior to ANC Enrolment,Misc,N/A,,
9fda317c-9fd4-4423-a09b-dd4ba86a8a61,,Yes full name;No full name,Éligible pour le retest du VIH?,Eligible for HIV Repeat Test?,Éligible pour le retest du VIH?,Eligible for HIV Repeat Test?,Misc,Coded,,
1bddb328-f0c2-46b0-b5f9-6d66c7726573,,,Raison,Reason,Raison,Reason,Misc,Text,,
d6cc3709-ffa0-42eb-b388-d7def4df30cf,"Eligible for HIV Repeat Test?;Reason;HIV Tested;HIV Test Date;HTC, Result;Repeat Test done if (P);Repeat Test Date;Repeat Test Result",,(b) Pendant l'enrolement en CPN,At ANC Enrolment,(b) Pendant l'enrolement en CPN,At ANC Enrolment,Misc,N/A,,

018c6f2d-6f2f-4236-ab02-75fc17b209af,,Yes full name;No full name;Unknown;Refused;Stock Out,Testé Syphilis,Tested for Syphilis,Testé Syphilis,Tested for Syphilis,Misc,Coded,,
0f4f700b-6f6c-414a-9369-adb1a39b43a1,,, Date du Test Syphilis,Syphilis Testing Date, Date du Test Syphilis,Syphilis Testing Date,Misc,Date,,
5dccd6bf-00fd-48d1-a9d1-1d102679375a,,Positive;Negative;Indeterminate,Resultat du Test Syphilis,Syphilis Duo Test Result,Resultat du Test Syphilis,Resultat du Test Syphilis,Misc,Coded,,

48732de2-3a7c-45b6-9abd-5e67b6903390,,,1ere dose benzylpen,1st dose benzylpen,1ere dose benzylpen,1st dose benzylpen,Misc,N/A,,
d96cf53f-866e-4c2f-b945-1020be3e334b,,,2ieme dose benzylpen,2nd dose benzylpen,2ieme dose benzylpen,2nd dose benzylpen,Misc,N/A,,
1e28f91d-e608-4f10-b51d-8242e2fbd1c4,,,3ieme dose benzylpen,3rd dose benzylpen,3ieme dose benzylpen,3rd dose benzylpen,Misc,N/A,,
11b273fc-80f8-4454-be1c-8e6e19374dec,,1st dose benzylpen;2nd dose benzylpen;3rd dose benzylpen; Refused; Stock Out,Traitement Syphilis,Syphilis Treatment With Benzathine Penicillin,Traitement Syphilis,Syphilis Treatment With Benzathine Penicillin,Misc,Coded,,

dc43db96-009e-4b71-888b-03810aaa7cc3,Tested for Syphilis;Syphilis Testing Date;Syphilis Duo Test Result;Syphilis Treatment With Benzathine Penicillin;Other treatments,,Dépistage syphillis (Duo Test) & Traitement,Syphilis Testing and Treatment,Dépistage syphillis (Duo Test) & Traitement,Syphilis Testing and Treatment,Misc,N/A,,

fea0b509-ba01-437a-89af-eeecf9027eb2,Index Testing;Prior to ANC Enrolment;At ANC Enrolment,,Status VIH,HIV Status,Status VIH,HIV Status,Misc,N/A,,
96d8c90a-7d81-49d9-940f-b8706e7f6afe,"HIV Tested;HIV Test Date;HTC, Result",,Statut VIH du partenaire,Partners HIV status,Statut VIH du partenaire,Partners HIV status,Misc,N/A,,
f0447183-d13f-463d-ad0f-1f45b99d97cc,,Yes full name;No full name,Dépisté,Screened,Dépisté,Screened,Misc,Coded,,
ae0ad7b8-2e9b-4731-9563-137382f376d5,,,Suspect/Probable,Suspected / Probable,Suspect/Probable,Suspected / Probable,Misc,N/A,,
c83a44a8-614e-4d79-9e3b-ad107faeb384,,,Non Suspect,Not Suspected,Non Suspect,Not Suspected,Misc,N/A,,
61931c8b-0637-40f9-97dc-07796431dd3b,,Suspected / Probable;Not Suspected,Statut TB,TB Status,Statut TB,TB Status,Misc,Coded,,
4dfc6fda-1e15-4f0c-93e8-ab6d52c28c30,,,Nouvellement mis sous Traitement,Initiated treatment,Nouvellement mis sous Traitement,Initiated treatment,Misc,N/A,,
c9ca5df9-2795-4adf-bc6b-8c6bd7e7e947,,,Reférré à un centre de traitement TB,Referred to treatment site,Reférré à un centre de traitement TB,Referred to treatment site,Misc,N/A,,
d0fc9bc2-0be7-4958-8300-99ef9b5ba36d,,,Déjà sous traitement,Already of TB treatment,Déjà sous traitement,Already of TB treatment,Misc,N/A,,
b860f0ea-8c11-4b66-99b3-de1efaa28f65,,,Sous TPI,On IPT,Sous TPI,On IPT,Misc,N/A,,
3dce13a8-c7e5-45ec-a6f0-8050fd4a2ca2,,Initiated treatment;Referred to treatment site;Already of TB treatment;On IPT,"CPN, Résultat TB","ANC, TB Outcome","CPN, Résultat TB","ANC, TB Outcome",Misc,Coded,,
