uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1210
deaedc5b-df3d-4b16-9c8e-8273204d06ed,,,Nom et Prénom,Name and Surname,Nom et Prénom,Name and Surname,Misc,Text,,
216757c1-fca1-45e9-b6df-48ea9a560c57,,,Age,Age,Age,Age,Misc,Numeric,,
bba56cfe-24ca-45b2-800a-e5ad8848327a,,,En activité,Inactive,En activité,Inactive,Misc,N/A,,
ecb5b769-9b5e-4e67-9861-49c51ed6246f,,Inactive;Unemployed;Retired,Profession 2,Occupation 2,Profession,Occupation,Misc,Coded,,
62bebc82-ec99-4f21-9c4a-86d7a9dd9a66,,,Quartier de rèsidence,Area of ​​Residence,Quartier de rèsidence,Area of ​​Residence,Misc,Text,,
7e919f25-0e0f-43e3-ad5b-1672edde58aa,,,Téléphone,Telephone,Téléphone,Telephone,Misc,Text,,
d7413d04-a67a-4be1-acd1-8c5577847dc8,,Negative;Positive;Indeterminate;Unknown,Statut sèrologique,Serological status,Statut sèrologique,Serological status,Misc,Coded,,
a731e98d-627c-4641-9848-9731f85e7f09,,Yes full name;No full name,Traitement ARV,ARV treatment,Traitement ARV,ARV treatment,Misc,Coded,,
bebdb27d-995c-4724-9e85-22473fbbecc4,,,Si Oui depuis le,If Yes since,Si Oui depuis le,If Yes since,Misc,Date,,
d821c948-17aa-42e6-bcea-fc360844fe63,,,Prèciser le protocole,Specify the protocol,Prèciser le protocole,Specify the protocol,Misc,Text,,
8ddfbea8-7283-4b65-8d26-6d30ed0e3fac,,,Code(Numèro du dossier),Code (File Number),Code(Numèro du dossier),Code (File Number),Misc,Text,,
5911c330-fbfa-4a3c-ba46-0e7ff07bb47d,Serological status;ARV treatment; If Yes since;Specify the protocol;Code (File Number),,Mère,Mother,Mère,Mother,Misc,N/A,,
8e6d9c56-2f67-4154-85f4-cfb429639a94,Serological status;ARV treatment; If Yes since;Specify the protocol;Code (File Number),,Père,Father,Père,Father,Misc,N/A,,
4fcc4bef-49aa-49aa-8f67-eeba93c70a54,,,Lien avec l'enfant,Relationship with the child,Lien avec l'enfant,Relationship with the child,Misc,Text,,
e0702177-340c-41d7-8a35-3d92383443bd,Serological status,,Personne Responsible Des Soins De L'Enfant,Child's carer,Personne Responsible Des Soins De L'Enfant,Child's carer,Misc,N/A,,
b278f445-ffbf-4955-a1cc-acf19bd0d2db,,,Vivant,Living,Vivant,Living,Misc,N/A,,
c7aae939-b19f-4a5f-8289-b0764b7887bf,,,DCD,DCD,DCD,DCD,Misc,N/A,,
743b6862-d209-4205-aa57-bf6cf8759fd9,,Living;DCD,Vivant/DCD,Living/DCD,Vivant/DCD,Living/DCD,Misc,Coded,,
2cebb85c-d54f-486b-aaa1-8aa86f58c68c,,Yes full name;No full name,Testè,Tested,Testè,Tested,Misc,Coded,,
b004a043-4952-43d7-bb73-327bce75b70a,,,VIH+,VIH+,VIH+,VIH+,Misc,N/A,,
c52e57ed-67b5-4119-8e4a-6f37f04d22f6,,,VIH-,VIH-,VIH-,VIH-,Misc,N/A,,
b7119de5-c3f7-41b3-bfc4-1d6c9ebc8958,,VIH+;VIH-,Status,Status,Status,Status,Misc,Coded,,
f7c6fceb-f489-43b0-afe4-b3482fb7ff44,,Yes full name;No full name,Suivi,Followed,Suivi,Followed,Misc,Coded,,
e52308bf-8518-473f-943b-9216b156b855,,Yes full name;No full name,En traitement,On treatment,En traitement,On treatment,Misc,Coded,,
50a28321-ce04-4f82-a1ff-9bd70164a661,,,Age Sibling 1,Age Sibling 1,Age,Age,Misc,Numeric,,
20bdf783-3f59-4d7b-98c9-a1615016960e,,,Age Sibling 2,Age Sibling 2,Age,Age,Misc,Numeric,,
670da9af-f6c8-4cbb-95bd-68b1e84a1312,,,Age Sibling 3,Age Sibling 3,Age,Age,Misc,Numeric,,
75119fbb-c442-469d-8ba7-541f081b26e9,,,Age Sibling 4,Age Sibling 4,Age,Age,Misc,Numeric,,
e25a140e-bdab-46c3-bbed-246ef673557e,,,Age Sibling 5,Age Sibling 5,Age,Age,Misc,Numeric,,
66faa143-3116-4ba5-93cc-4da204402094,,,Age Sibling 6,Age Sibling 6,Age,Age,Misc,Numeric,,
79b31a17-1ffa-4038-a88c-e8093fb471c8,,,Age Sibling 7,Age Sibling 7,Age,Age,Misc,Numeric,,
15bf23cc-530b-4899-bc0f-0fcff52d2887,Age Sibling 1;Living/DCD;Tested;On treatment;Status;Followed,,Numèro 1,Sibling 1,Numèro 1,Sibling 1,Misc,N/A,,
309efd31-c89f-4722-8ccd-c2bc53eb920a,Age Sibling 2;Living/DCD;Tested;On treatment;Status;Followed,,Numèro 2,Sibling 2,Numèro 2,Sibling 2,Misc,N/A,,
5cc28cc1-73b8-4536-b76b-7082a73f7054,Age Sibling 3;Living/DCD;Tested;On treatment;Status;Followed,,Numèro 3,Sibling 3,Numèro 3,Sibling 3,Misc,N/A,,
ae8e6e1e-5c36-49b8-b8a2-b38d0ee4eb28,Age Sibling 4;Living/DCD;Tested;On treatment;Status;Followed,,Numèro 4,Sibling 4,Numèro 4,Sibling 4,Misc,N/A,,
