uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1283
cc742a8e-0544-493a-8a52-1590e150bf14,,,Date de la Consultation post-natale (jj/mm/aaaa),Date of the Post-Natal Consultation (dd/mm/yyyy),Date de la Consultation post-natale (jj/mm/aaaa),Date of the Post-Natal Consultation (dd/mm/yyyy),Misc,Date,
95b092f7-2abd-4e8f-8c7d-44dba906d2bf,,,2h après l'accouchement,2 hours after delivery,2h après l'accouchement,2 hours after delivery,Misc,N/A,
c5e8bd83-bea6-4a41-96ff-b4aa39c36dab,,,Jour 2,Day 2,Jour 2,Day 2,Misc,N/A,
53779988-292f-48e6-9a89-ae5a23723957,,,Jour 3,Day 3,Jour 3,Day 3,Misc,N/A,
20ceae1c-9a9b-4561-b806-15b295376fa3,,95b092f7-2abd-4e8f-8c7d-44dba906d2bf;c5e8bd83-bea6-4a41-96ff-b4aa39c36dab;53779988-292f-48e6-9a89-ae5a23723957,Jour,Day,Jour,Day,Misc,Coded,
d3966263-0c2a-4b36-bfd4-564535014e4c,,,Utérus contracté,Contracted uterus,Utérus contracté,Contracted uterus,Misc,Boolean,
91a957fd-f6d0-438b-b13d-99169fe88be6,,c45f6876-3f10-11e4-adec-0800271c1b75;8de7ee06-bf87-461c-900c-fe0bb9f18e76,Lochies/Saignement,Lochia/Bleeding,Lochies/Saignement,Lochia/Bleeding,Misc,Coded,
8f5cd547-61f2-4631-8a6c-80d0ea8bbb41,,c45f6876-3f10-11e4-adec-0800271c1b75;8de7ee06-bf87-461c-900c-fe0bb9f18e76,Mamelon et aréole,Nipple and areola,Mamelon et aréole,Nipple and areola,Misc,Coded,
f74c867c-747b-4fdf-9278-746bc79827e4,,,Sepsis puerpéral,Sepsis puerperal (SP),Sepsis puerpéral,Sepsis puerperal (SP),Misc,N/A,
c2bf7d86-b42b-4657-9cd1-672d1db33c65,,,Psychose puerpérale,Puerperal Psychosis (PP),Psychose puerpérale,Puerperal Psychosis (PP),Misc,N/A,
063047de-0f64-4886-875c-215443b2777d,,,Fistules obstétricales (FO),Obstetric fistula (OF),Fistules obstétricales (FO),Obstetric fistula (OF),Misc,N/A,
b952270a-c174-4878-ab45-71a6602013f6,,,Autres à préciser (AU),Others to be precise,Autres à préciser (AU),Others to be precise,Misc,Text,
6754649b-f1ff-44d3-b345-8901e8c95ab3,,9ff49b12-e8c7-4fc5-ab22-87ba4336b05a;f74c867c-747b-4fdf-9278-746bc79827e4;c2bf7d86-b42b-4657-9cd1-672d1db33c65;063047de-0f64-4886-875c-215443b2777d;47764488-d8dc-48ce-8305-b9bfbb626110;cf0b85a0-267a-4026-b8a7-ccfef75ccf6d;b1d369d8-a31f-4333-b213-78bbb17071a0,Complications/Devenir,Complications/Becoming,Complications/Devenir,Complications/Becoming,Misc,Coded,
e3ee3008-775c-467c-b097-1f9e59fa578c,20ceae1c-9a9b-4561-b806-15b295376fa3;d3966263-0c2a-4b36-bfd4-564535014e4c;91a957fd-f6d0-438b-b13d-99169fe88be6;8f5cd547-61f2-4631-8a6c-80d0ea8bbb41;6754649b-f1ff-44d3-b345-8901e8c95ab3;b952270a-c174-4878-ab45-71a6602013f6,,Soins Maternels en Post-partum immédiat,Immediate Postpartum Maternal Care,Soins Maternels en Post-partum immédiat,Immediate Postpartum Maternal Care,Misc,N/A,
72109ac0-45a7-41ff-9315-78f07bfb4d35,cc742a8e-0544-493a-8a52-1590e150bf14;e3ee3008-775c-467c-b097-1f9e59fa578c,,SUIVI SALLE D’ACCOUCHEMENT,FOLLOW-UP DELIVERY ROOM,SUIVI SALLE D’ACCOUCHEMENT,FOLLOW-UP DELIVERY ROOM,Misc,N/A,
