Uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1286
c5b20e93-56c8-45e5-b65b-2b42ee49ecb0,,,Date de référence,Referral Date,Date de référence,Referral Date,Misc,Date,
a2f31381-448b-4ca4-9639-9df83e740442,,,Consultation externe,Outpatient,Consultation externe,Outpatient,Misc,N/A,
1b7bc29f-188f-4103-8bac-90deb019e1ea,,30dcc74a-5554-482f-a5a0-9f6fb3c2a556;a2f31381-448b-4ca4-9639-9df83e740442,Nom du service,Name of service,Nom du service,Name of service,Misc,Coded,
dcf76d37-01f9-496c-a652-fe6f94f1290a,1b7bc29f-188f-4103-8bac-90deb019e1ea,,Service Requis,Requested service,Service Requis,Requested service,Misc,Coded,
f8c875ed-a917-43b2-aaf1-8486bdeb31fa,,,Auto-transfert,Self-transfer,Auto-transfert,Self-transfer,Misc,N/A,
84dbfb89-c648-4ebc-bdb0-fd1cefc5f142,,,Transfert officiel,Official transfer,Transfert officiel,Official transfer,Misc,N/A,
cb654311-dac9-45e0-afc0-3c78ed432ea1,,f8c875ed-a917-43b2-aaf1-8486bdeb31fa;84dbfb89-c648-4ebc-bdb0-fd1cefc5f142;c47100e6-354d-4872-8fb0-a32481dd96c0;c53ea2a6-4d8f-4f3d-b6b1-f8eeda8864b4,Type de Transfert,Transfert type,Type de Transfert,Transfert type,Misc,Coded,
d8a7d14b-74e9-4069-b689-270436134e1d,,,Nom du médecin,Physician’s name,Nom du médecin,Physician’s name,Misc,Text,
5e32bfaa-422d-4aa8-ae22-17d9597722aa,,,Spécialité du médecin,Physician’s speciality,Spécialité du médecin,Physician’s speciality,Misc,Text,
f95a13e8-9c05-45f5-ac48-012cf1ddd2a8,,,Téléphone du médecin,Physician’s phone,Téléphone du médecin,Physician’s phone,Misc,Text,
57a5de55-acf0-4695-bbc2-a2acc1721de7,d8a7d14b-74e9-4069-b689-270436134e1d;5e32bfaa-422d-4aa8-ae22-17d9597722aa;f95a13e8-9c05-45f5-ac48-012cf1ddd2a8,,Reférer par,Referred by,Reférer par,Referred by,Misc,Coded,
b8065053-a7d8-4f17-a72f-77e084e71bbc,,,Enquête,Investigation,Enquête,Investigation,Misc,Boolean,
2703041e-0a34-4731-8067-ad0e8fb607d0,,,Diagnostic,Diagnosis,Diagnostic,Diagnosis,Misc,Boolean,
12d251b8-d40e-4e28-8efa-6925b4c76595,,,Traitement de TB,Treatment TB,Traitement de TB,Treatment TB,Misc,Boolean,
