Uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1310
89d66b2f-7aab-430c-9a2f-8d6fc5164372,,,Programme EAC CV élevé,VL EAC Program,Programme EAC CV élevé,VL EAC Program,Misc,Text,
4a8c981b-a746-424b-a38a-7c62a07d3419,,,Continuer avec le même traitement ARV,Continue same ART regimen,Continuer avec le même traitement ARV,Continue same ART regimen,Misc,N/A,
122f223c-ff02-48e0-af40-da77d28a2ed4,,,Passer à la ligne ARV suivante,Switch to the next line ART,Passer à la ligne ARV suivante,Switch to the next line ART,Misc,N/A,
c1c8d5cf-3be8-4acf-b547-dc7fdadc759b,,,Refaire Session Observance,Proceed to extended EAC,Refaire Session Observance,Proceed to extended EAC,Misc,N/A,
d64ae9cb-b490-42bb-b64f-b2cc0d075ad4,Continue same ART regimen;Switch to the next line ART;Proceed to extended EAC,,Programme EAC CV élevé résultats du programme,VL EAC Program Outcomes,Résultats du programme,Program Outcomes,Misc,Coded,
f7b84b78-1475-4928-85e6-64cbf7f1f62d,,,VL EAC Program Workflow,VL EAC Program Workflow,VL EAC Program Workflow,VL EAC Program Workflow,Misc,N/A,
2d7b7d0f-d49b-4643-8b38-d5e952d2a7f1,,,1ère Session Observance,EAC 1,1ère Session Observance,EAC 1,Misc,N/A,
beb3b80d-1f5d-412d-941d-3842eb56b0f3,,,2ème Session Observance,EAC 2,2ème Session Observance,EAC 2,Misc,N/A,
010efc37-f82a-41c9-a348-2efee49476b9,,,3ème Session Observance,EAC 3,3ème Session Observance,EAC 3,Misc,N/A,
d94fa023-3661-4832-9052-94b50446fe20,,,1ère Session Observance Prolongée,Ext EAC 1,1ère Session Observance Prolongée,Ext EAC 1,Misc,N/A,
42147c32-61b9-4357-b5a9-6785c605d551,,,2ème Session Observance Prolongée,Ext EAC 2,2ème Session Observance Prolongée,Ext EAC 2,Misc,N/A,
b3bd3667-c83f-400b-bda9-14e6adec61e7,,,3ème Session Observance Prolongée,Ext EAC 3,3ème Session Observance Prolongée,Ext EAC 3,Misc,N/A,
49302bb3-93f1-4f17-9ae8-8bf513356467,,,Moyen,Fair,Moyen,Fair,Misc,N/A,
1cb5e2f4-9813-4683-a81d-ffee877c7522,,,Mauvais,Poor,Mauvais,Poor,Misc,N/A,
b636bdf8-c054-4d6e-81ee-1cf6d04c798f,,Good;Fair;Poor,Classification de l'adhésion,Classification of adherence,Classification de l'adhésion,Classification of adherence,Misc,Coded,
