uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1382
f5b558ea-c92d-420e-be69-2980d7d0f9eb,,,Date d'enrégistrement,Registration date,Date d'enrégistrement,Registration date,Misc,Date,,
69beb5ff-df4b-4882-8b2f-113c60eaa2f7,,Yes full name;No full name,Test de CD4,Test for CD4,Test de CD4,Test for CD4,Misc,Coded,,
5e4b3b12-1e06-48fd-b665-d8204be100e4,,,Count de CD4,CD4 Count,Count de CD4,CD4 Count,Misc,Numeric,,
82898345-2e16-42cc-84f7-906b8d93900b,,,Glycemie,Blood sugar (FBS),Glycemie,Blood sugar (FBS),Misc,Numeric,,

353aa860-2d58-47e3-a0b8-12617f38bfcf,Registration date,,Socio demographics,Socio demographics,Socio demographics,Socio demographics,Misc,N/A,,
234450b6-6d37-4403-a7f1-bf0a4bbc47cc,Test for CD4;CD4 Count;Blood sugar (FBS),,Information du cas classé Maladie Avancée,AHD status information,Information du cas classé Maladie Avancée,AHD status information,Misc,N/A,,

68313693-000a-425e-a7f2-b6ac57b0b0df,,,Fièvre Misc,Fever Misc,Fièvre,Fever,Misc,N/A,,
ef643d31-546b-49bf-8655-d55f2476dd6a,,,Diarrhée Chronique Misc,Chronic Diarrhea Misc,Diarrhée Chronique,Chronic Diarrhea,Misc,N/A,,
2772a390-c504-4306-af94-622c3c0e3eb1,,,Perte de Poids Misc,Weight Loss Misc,Perte de Poids,Weight Loss,Misc,N/A,,
a794afbb-6e23-4bac-a7c1-f816a4887bd3,,,Fatigue Misc,Fatigue Misc,Fatigue,Fatigue,Misc,N/A,,
1a9e8463-0b1d-4162-8c35-256fbe4b31ad,,,Perte de connaissance Misc,"Confusion, fitting or COMA Misc",Perte de connaissance,"Confusion, fitting or COMA",Misc,N/A,,
0c77367b-bb71-467a-9cfb-8eddc7fd8724,,,maux de tête chronique,Chronic headache,maux de tête chronique,Chronic headache,Misc,N/A,,

e7664be9-f483-4fd0-aed6-7783d7e56dcd,,"Cough full name;Anaemia;Sweating, excessive;Other;Fever Misc;Chronic Diarrhea Misc;Weight Loss Misc;Fatigue Misc;Confusion, fitting or COMA Misc;Chronic headache",NCD Signes et symptômes,NCD Signs and symptoms,Signes et symptômes,Signs and symptoms,Misc,Coded,,
69beb5ff-df4b-4882-8b2f-113c60eaa2f7,,Yes full name;No full name,Présence d'au moins un symptôme de la TB,At least one TB Symptoms,Présence d'au moins un symptôme de la TB,At least one TB Symptoms,Misc,Coded,,
28745a71-e4ad-478c-a9d4-353c90fbc3e1,,Yes full name;No full name,Examen de TB effectué,TB Exam done,Examen de TB effectué,TB Exam done,Misc,Coded,,

9df0c434-a15a-4f96-987c-b3cd85a7710a,,Yes full name;No full name,Initié aux anti-TB,Initiated on TB Tx,Initié aux anti-TB,Initiated on TB Tx,Misc,Coded,,
f42905c1-9a71-4bdc-9b52-bb74af78ab75,,Yes full name;No full name,Initié a la prophyl. INH Indicate if cotrim,Initiated on TPT,Initié a la prophyl. INH Indicate if cotrim,Initiated on TPT,Misc,Coded,,
ba6ed423-330b-4773-a849-90998f69403f,,Yes full name;No full name,Traitement terminé,Treatment completed,Traitement terminé,Treatment completed,Misc,Coded,,

d15eb92e-269d-48a5-aa30-133d228f4a70,,,Date de début de la TB,TB Initiation date,Date de début de la TB,TB Initiation date,Misc,Date,,
f298a162-0e7d-4fcf-aab4-1addebc4ede1,,,Date de début de la TPT,TPT Initiation date,Date de début de la TB,TPT Initiation date,Misc,Date,,
7436b821-cc3f-4c1c-b78c-af95736422ec,,Yes full name;No full name,Traitement terminé TB,TB Treatment completed,Traitement terminé,Treatment completed,Misc,Coded,,


f0d73a34-5947-4a7c-abb5-ca555155e2b7,"At least one TB Symptoms;TB Exam done;Test Type;Tuberculosis, Type;Initiated on TB Tx;TB Initiation date;Initiated on TPT;TPT Initiation date;TB Treatment completed;End date of treatment",,Recherche de la TB et initiation aux anti-TB,TB screening and initiation on TB-drugs,Recherche de la TB et initiation aux anti-TB,TB screening and initiation on TB-drugs,Misc,N/A,,

fb9450f3-210b-474a-9ac7-6b97ffffcbb0,,,En utilisant l'Ag Cr resultat (LCR),Using Ag Cr result (CSF),En utilisant l'Ag Cr resultat (LCR),Using Ag Cr result (CSF),Misc,N/A,,
