uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1386
2a3b4c5d-6789-1011-1223-415161718192,,,DPA,PDD,DPA,PDD,Misc,Date,,
4a5b6c7d-8901-1213-1445-617181920212,,Positive;Negative;Indeterminate,AgHbs,Hepatitis B Surface Antigen,AgHbs,HBsAg,Misc,Coded,,
5a6b7c8d-9012-1314-1556-718192021222,,Positive;Negative;Indeterminate,LAV,LAV,LAV,LAV,Misc,Coded,,
7a8b9c0d-1234-1516-1778-920212223242,,Positive;Negative,Toxoplasmose Test,Toxoplasmosis Test,Toxoplasmose,Toxoplasmosis,Misc,Coded,,
8a9b0c1d-2345-1617-1889-021223242526,,Positive;Negative,Rubeole Test,Rubella Test,Rubeole,Rubella,Misc,Coded,,
0a1b2c3d-4567-1819-2001-223252627282,,Yes;No,MILDA,Mosquito Net,MILDA,Net,Misc,Coded,,
1a2b3c4d-5678-1920-2112-324262728293,,Yes;No,Supplémentation en fer,Iron Supplementation,Fer,Iron,Misc,Coded,,
2a3b4c5d-6789-2021-2223-425272829304,,Yes;No,Ca2+,Calcium Supplementation,Ca2+,Ca,Misc,Coded,,
3a4b5c6d-7890-2122-2334-526282930315,,,VAT,VAT,VAT,VAT,Misc,Numeric,,
b4739cb3-b2d3-4a21-8e98-29f0f82980b1,,,3eme dose,3rd dose,3eme dose,3rd dose,Misc,N/A,,
d78124a4-12c8-4bd5-bd95-1a6d2a9438fc,,,4eme dose,4th dose,4eme dose,4th dose,Misc,N/A,,
d24f359d-f3b6-4468-844f-c9092bda599a,,1st dose;2nd dose;3rd dose;4th dose,TPI,TPI,TPI,TPI,Misc,Coded,,
a1b2c3d4-5678-9101-1234-567890abcdef,,,T1,First Trimester,T1,T1,Misc,N/A,,
b2c3d4e5-6789-1011-1213-678901abcdef,,,T2,Second Trimester,T2,T2,Misc,N/A,,
c3d4e5f6-7891-0112-1314-789012abcdef,,,T3,Third Trimester,T3,T3,Misc,N/A,,
4a5b6c7d-8901-2223-2445-627293031326,,First Trimester;Second Trimester;Third Trimester,Ultrasound Scan,Ultrasound Scan,Ultrasound,Ultrasound,Misc,Coded,,
e001a1b2-1234-5678-9101-abcdef123456,,,O,O,O,O,Misc,N/A,,
e002b1c3-2345-6789-1012-bcdef1234567,,,OO,OO,OO,OO,Misc,N/A,,
