Uuid,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:980
9d8e6918-3f10-11e4-adec-0800271c1b75,Immédiatement,Immédiatement,Immédiatement,Immédiatement,Misc,N/A,
9d77abd7-3f10-11e4-adec-0800271c1b75,Une fois par jour,Une fois par jour,Une fois par jour,Une fois par jour,Misc,N/A,
9d7c81f9-3f10-11e4-adec-0800271c1b75,Deux fois par jour,Deux fois par jour,Deux fois par jour,Deux fois par jour,Misc,N/A,
9d7d753b-3f10-11e4-adec-0800271c1b75,Trois fois par jour,Trois fois par jour,Trois fois par jour,Trois fois par jour,Misc,N/A,
9d83d5f2-3f10-11e4-adec-0800271c1b75,Quatre fois par jour,Quatre fois par jour,Quatre fois par jour,Quatre fois par jour,Misc,N/A,
33436036-8a92-11e4-977f-0800271c1b75,Toutes les heures,Toutes les heures,Toutes les heures,Toutes les heures,Misc,N/A,
3344f15b-8a92-11e4-977f-0800271c1b75,Toutes les 2 heures,Toutes les 2 heures,Toutes les 2 heures,Toutes les 2 heures,Misc,N/A,
33460abd-8a92-11e4-977f-0800271c1b75,Toutes les 3 heures,Toutes les 3 heures,Toutes les 3 heures,Toutes les 3 heures,Misc,N/A,
334ce904-8a92-11e4-977f-0800271c1b75,Toutes les 4 heures,Toutes les 4 heures,Toutes les 4 heures,Toutes les 4 heures,Misc,N/A,
334dbd41-8a92-11e4-977f-0800271c1b75,Toutes les 6 heures,Toutes les 6 heures,Toutes les 6 heures,Toutes les 6 heures,Misc,N/A,
334ea16c-8a92-11e4-977f-0800271c1b75,Toutes les 8 heures,Toutes les 8 heures,Toutes les 8 heures,Toutes les 8 heures,Misc,N/A,
334f851c-8a92-11e4-977f-0800271c1b75,Toutes les 12 heures,Toutes les 12 heures,Toutes les 12 heures,Toutes les 12 heures,Misc,N/A,
335071ea-8a92-11e4-977f-0800271c1b75,Un jour sur deux,Un jour sur deux,Un jour sur deux,Un jour sur deux,Misc,N/A,
33516e22-8a92-11e4-977f-0800271c1b75,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine,Misc,N/A,
33523c55-8a92-11e4-977f-0800271c1b75,Deux fois par semaine,Deux fois par semaine,Deux fois par semaine,Deux fois par semaine,Misc,N/A,
3352f51b-8a92-11e4-977f-0800271c1b75,Trois fois par semaine,Trois fois par semaine,Trois fois par semaine,Trois fois par semaine,Misc,N/A,
3353b81e-8a92-11e4-977f-0800271c1b75,Toutes les 2 semaines,Toutes les 2 semaines,Toutes les 2 semaines,Toutes les 2 semaines,Misc,N/A,
33547af0-8a92-11e4-977f-0800271c1b75,Toutes les 3 semaines,Toutes les 3 semaines,Toutes les 3 semaines,Toutes les 3 semaines,Misc,N/A,
3355487f-8a92-11e4-977f-0800271c1b75,Une fois par mois,Une fois par mois,Une fois par mois,Une fois par mois,Misc,N/A,
33b40722-8a92-11e4-977f-0800271c1b75,Cinq fois par jour,Cinq fois par jour,Cinq fois par jour,Cinq fois par jour,Misc,N/A,
33b501b0-8a92-11e4-977f-0800271c1b75,Quatre jours par semaine,Quatre jours par semaine,Quatre jours par semaine,Quatre jours par semaine,Misc,N/A,
33b5c447-8a92-11e4-977f-0800271c1b75,Cinq jours par semaine,Cinq jours par semaine,Cinq jours par semaine,Cinq jours par semaine,Misc,N/A,
33b68622-8a92-11e4-977f-0800271c1b75,Six jours par semaine,Six jours par semaine,Six jours par semaine,Six jours par semaine,Misc,N/A,
