id,active,name,standard_price,list_price,mrp,categ_id/id,type,product_variant_ids/id,uom_po_id/id,uom_id/id,tracking
__export__.product_template_1192,TRUE,5 Fluoro Uracile 100mg,1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1192,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1125,TRUE,ABC/3TC 120/60mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1125,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1127,TRUE,ABC/3TC 600/300mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1127,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1126,TRUE,ABC/3TC 60/30mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1126,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1194,TRUE,Acécoumarol 1mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1194,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1196,TRUE,Acécoumarol 4mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1196,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1198,TRUE,Acétazolamide 250mg,1,50,50,__export__.product_category_29,Stockable Product,__export__.product_product_1198,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1200,TRUE,Acétyleucine 500mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1200,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1202,TRUE,Acétylsalicylate de lysine 1800mg (soit 1g d'AAS/5ml),1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1202,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1204,TRUE,Acétylsalicylate de lysine 900mg (soit 500mg d'AAS/5ml),1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1204,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1206,TRUE,Aciclovir 3%,1,900,900,__export__.product_category_31,Stockable Product,__export__.product_product_1206,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1208,TRUE,Acide Acétyl Salicylique (AAS) 100mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1208,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1209,TRUE,Acide Acétyl Salicylique (AAS) 300mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1209,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1211,TRUE,Acide Acétyl Salicylique (AAS) 500mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1211,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1213,TRUE,Acide Ascorbique (Vitamine C) 1g/5ml,1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1213,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1215,TRUE,Acide folinique 15mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1215,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1217,TRUE,Acide folinique 5mg,1,2,2,__export__.product_category_15,Stockable Product,__export__.product_product_1217,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1219,TRUE,Acide Folique 1mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1219,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1220,TRUE,Acide Folique 5mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1220,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1221,TRUE,Acide Ibandronique 6mg,1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1221,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1223,TRUE,Acide Pamidronique 90mg,1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1223,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1224,TRUE,Acide para amino salicyliques 500mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1224,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1226,TRUE,Acide tranexamique 500mg/5ml,1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1226,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1230,TRUE,Acide Valproïque 200mg/5ml,1,2,2,__export__.product_category_30,Stockable Product,__export__.product_product_1230,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1228,TRUE,Acide Valproïque 200mg forme retard,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1228,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1232,TRUE,Acide Valproïque 500mg,1,5000,5000,__export__.product_category_13,Stockable Product,__export__.product_product_1232,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1233,TRUE,Acide Valproïque 500mg forme retard,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1233,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1234,TRUE,Acide Zolédronique 4mg,1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1234,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1236,TRUE,Albendazole 100mg/5ml,1,2,2,__export__.product_category_14,Stockable Product,__export__.product_product_1236,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_2175,TRUE,Albendazole 400mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_2175,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1238,TRUE,Albendazole 400mg,1,2,2,__export__.product_category_29,Stockable Product,__export__.product_product_1238,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1239,TRUE,Albendazole 400mg -,1,30,30,__export__.product_category_30,Stockable Product,__export__.product_product_1239,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1241,TRUE,Albumine humaine 20%/100ml,1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1241,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1242,TRUE,Albumine humaine 20%/50ml,1,2,2,__export__.product_category_13,Stockable Product,__export__.product_product_1242,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1244,TRUE,Alcool éthylique 95% de 25 litres,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1244,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1245,TRUE,Alcool éthylique à 70 % 100ml,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1245,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1247,TRUE,Alcool éthylique à 70 % 125ml,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1247,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1249,TRUE,Alcool éthylique à 70 % 1L,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1249,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1251,TRUE,Alcool éthylique à 70 % 500ml,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1251,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1253,TRUE,Alcool éthylique à 95 % 100ml,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1253,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1255,TRUE,Alcool éthylique à 95 % 125ml,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1255,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1256,TRUE,Alcool éthylique à 95 % 1L,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1256,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1260,TRUE,Alcool éthylique à 95% 20L,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1260,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1258,TRUE,Alcool éthylique à 95 % 500ml,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1258,product.product_uom_unit,product.product_uom_unit,By Lots
__export__.product_template_1262,TRUE,Alcool éthylique fut 230L,1,2,2,__export__.product_category_32,Stockable Product,__export__.product_product_1262,product.product_uom_unit,product.product_uom_unit,By Lots
